|Epoch:106|Loss:15.425|Val_MSE	19.238|Best_Epoch:90|lr:0.001
|Epoch:107|Loss:15.231|Val_MSE	19.291|Best_Epoch:90|lr:0.001
|Epoch:108|Loss:15.266|Val_MSE	19.268|Best_Epoch:90|lr:0.001
|Epoch:109|Loss:15.156|Val_MSE	19.318|Best_Epoch:90|lr:0.001
|Epoch:110|Loss:15.134|Val_MSE	19.434|Best_Epoch:90|lr:0.001
|Epoch:111|Loss:15.207|Val_MSE	19.523|Best_Epoch:90|lr:0.001
|Epoch:112|Loss:15.159|Val_MSE	19.300|Best_Epoch:90|lr:0.001
|Epoch:113|Loss:15.056|Val_MSE	19.331|Best_Epoch:90|lr:0.001
|Epoch:114|Loss:14.963|Val_MSE	19.218|Best_Epoch:90|lr:0.001
|Epoch:115|Loss:14.933|Val_MSE	19.596|Best_Epoch:90|lr:0.001
|Epoch:116|Loss:14.866|Val_MSE	19.437|Best_Epoch:90|lr:0.001
|Epoch:117|Loss:14.928|Val_MSE	19.190|Best_Epoch:90|lr:0.001
|Epoch:118|Loss:14.745|Val_MSE	19.279|Best_Epoch:90|lr:0.001
|Epoch:119|Loss:14.681|Val_MSE	19.230|Best_Epoch:90|lr:0.001
|Epoch:120|Loss:14.624|Val_MSE	19.454|Best_Epoch:90|lr:0.001
|Epoch:121|Loss:14.617|Val_MSE	19.455|Best_Epoch:90|lr:0.001
|Epoch:122|Loss:14.623|Val_MSE	19.602|Best_Epoch:90|lr:0.001
|Epoch:123|Loss:14.540|Val_MSE	19.648|Best_Epoch:90|lr:0.001
|Epoch:124|Loss:14.558|Val_MSE	19.677|Best_Epoch:90|lr:0.001
|Epoch:125|Loss:14.460|Val_MSE	19.604|Best_Epoch:90|lr:0.001
